PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
01.01.2014,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,30.30083,29.04752,,29.49788,29.31769,29.66755,29.16975,28.72909,29.01692,28.83275,28.77306,29.2516,29.39959,28.51438,28.5221,28.23937,27.34054,28.25461,32.02663,31.55558,30.46122,32.32374,30.38056,29.55096,28.31134
02.01.2014,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,28.2203,27.56634,,26.88065,27.091,27.03031,27.51372,30.06191,33.20343,32.03257,34.11822,32.70156,35.23165,36.96736,37.80214,37.60747,38.86648,37.01558,54.72727,41.64838,43.88188,67.0875,133.8245,41.39575,36.55079
03.01.2014,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,39.29805,38.11173,,40.69682,34.3408,33.61406,38.76454,60.27266,169.07325,63.08661,41.58964,65.28433,51.67415,34.24188,33.74671,31.42264,33.01819,36.93208,78.40797,64.36578,68.6722,151.1956,87.9978,46.39659,39.65211
04.01.2014,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,44.45645,47.58669,,34.18146,31.70363,28.76356,32.46339,28.0824,29.33382,32.25285,25.67166,31.54625,32.77123,28.5214,29.76928,30.70478,29.60577,31.81781,35.57777,34.59791,37.53055,42.97216,35.83754,30.69904,28.64045
05.01.2014,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,28.76876,32.11615,,29.64226,28.23549,27.76048,28.09781,28.5042,27.03051,28.67261,30.01062,30.52748,29.32867,29.52287,29.01636,28.66036,25.03451,30.36122,34.51493,36.51535,34.13575,32.12046,28.75326,29.17666,25.34013
06.01.2014,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,25.24988,25.08441,,24.5421,20.4572,25.35604,27.2761,45.39898,43.78352,43.52102,80.51827,146.55802,141.45889,104.531,80.01599,76.28411,60.06983,93.91472,493.26806,526.75218,848.97605,864.30455,210.37564,313.5317,341.1787
07.01.2014,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,322.67646,415.70419,,423.75314,282.93411,470.30126,486.63095,1012.51857,1738.38179,1838.03321,1807.37923,1784.22399,1435.79014,331.37578,442.00871,218.44725,143.35317,203.61242,828.9751,265.91874,171.37441,127.18177,83.74215,120.61103,152.63308
08.01.2014,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,104.05318,123.13037,,80.87455,51.56283,44.35288,103.34125,84.18486,185.16843,137.75757,172.90232,153.64884,92.29238,46.33784,82.62756,34.14659,58.40131,75.49189,83.61222,37.15233,51.4736,72.86515,57.78408,40.65124,35.54773
09.01.2014,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,37.04327,34.42283,,34.1792,34.24154,35.00659,35.0321,109.5474,56.90093,44.29074,49.88922,42.39453,39.79908,38.19019,37.20544,36.67393,35.65917,38.14204,58.53726,40.47315,43.75545,42.74397,37.72068,30.88987,29.9491
10.01.2014,0,null,43653269,AMP-OHIO,AGGREGATE,TotalLMP,31.38609,33.12257,,31.28621,31.09628,30.41952,30.26008,36.95104,41.42179,43.52328,47.83769,67.62309,53.26008,57.21491,41.71567,36.67333,36.39688,37.48044,77.44312,36.08959,36.28283,33.7008,31.54879,29.43085,28.70521
