PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H2DST,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
01.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,29.92,28.65,,28.66,28.72,28.66,28.21,27.71,28.17,27.81,27.64,28.03,28.16,27.31,27.23,27.02,26.16,27.02,30.19,29.89,28.87,30.6,28.75,28.05,27.01
02.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,26.97,26.37,,25.66,25.8,25.92,26.44,28.73,31.66,29.61,36.46,28.61,30.99,33.01,33.49,33.64,35.49,34.41,50.8,35.35,40.97,64.2,128.48,39.83,34.69
03.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,37.3,35.73,,38.36,33.02,32.48,37.6,64.02625,174.24625,65.08125,46.14875,68.65,52.15,34.98,32.53,29.4,28.64,31.75,69.02,62.28,66.15,144.65,80.93,45.21,38.62
04.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,47.05,45.96,,33.29,30.81,23.85,26.78,27.02,27.71,36.06,25.68,29.76,30.82,26.45,27.43,27.78,28.08,29.32,33.11,31.88,35.89,41.45,34.52,29.67,27.67
05.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,27.91,31.36,,28.92,27.57,27.16,27.71,27.98,26.49,28.1,29.55,29.69,28.63,29.3,28.3,27.87,24.55,29.31,32.93,34.95,32.79,30.86,27.88,28.36,24.73
06.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,24.69,24.61,,24.15,20.2,25.13,27.17,45.68,43.57,40.03,92.46,169.61,165.2,124.67,91.21,78.08,65.95,107.31,503.99625,535.5475,846.97,850.33,219.99,313.3,342.55
07.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,343.39,429.05,,440.67,305.15,485.8,494.69875,998.4,1686.04625,1778.0575,1730.37875,1693.4725,1359.73,312.74125,417.10125,207.41375,134.35875,190.71875,782.6075,240.8925,163.77,121.5,79.42,115.8,147.31
08.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,101.2,118.61,,75.41,47.39,43.8,103.2775,81.82,175.9525,130.375,161.56875,140.98125,77.52,36.47,73.58,31.2,48.91,68.4,74.95625,30.87625,48.3075,70.51,53.73,38.67,34.42
09.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,34.74,31.21,,32.54,32.58,33.81,33.76,112.48,61.89,45.42,48.4,40.75,38.35,36.67,35.71,35.18,34.24,36.43,52.46,36.81,39.75,38.28,32.87,28.95,28.77
10.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,30.21,31.92,,30.17,30.03,29.39,29.25,35.58,39.76,41.67,43.05,58.99,45.57,49.51,34.8,31.04,31.78,32.63,67.92,31.2,31.83,30.7,29.29,27.95,27.74
11.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,25.54,27.15,,26.4,25.32,25.63,26.64,25.64,27.21,28.33,28.89,32.2,30.59,28.37,28.09,28.35,27.78,35.22,32.06,32,29.9,28.6,26.77,26.61,27.34
12.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,26.35,24.82,,23.87,25.62,25.85,26.49,26.88,27.73,30.09,30.93,30.21,30.59,28.04,27.72,27.19,26.5,27.81,53,49.64,37.8,38.42,36.03,30.35,28.49
13.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,25.15,26.37,,27.41,28.54,27.76,35.7,55.44,48.02,35.95,33.9,31.11,28.9,28.86,28.23,27.79,27.41,27.58,27.37,28.65,29.47,28.29,27.29,23.96,21.29
14.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,16.66,21.27,,22.6,19.95,18.61,25.43,30.83,27.66,27.87,28.92,32.8,27.91,27.83,27.12,26.6,26.3,26.95,27.98,28.26,28.88,29.72,28.47,26.36,25.51
15.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,25.84,25.73,,25.97,26.28,26.75,30.33,34.93,42.92,37.2,37.05,32.62,31.76,30.87,29.55,28.45,29.06,29.14,32.86,39.64,34.45,36.12,32.71,28.54,27.25
16.01.2014,0,null,130204739,MADISON,AGGREGATE,TotalLMP,28.56,28.47,,27.47,27.86,27.65,32.21,61.65,61.47,34.67,41.03,41.09,36.42,31.77,30.86,28.53,27.52,25.81,29.63,38.54,34.97,40.64,34.62,27.62,29.59
